ID,Attribute,Date,Value
8710,Fuel Rate,02-Mar2019 01:00:36,30
8711,Fuel Rate,02-Mar2019 01:00:40,26
8712,Pressure,02-Mar2019 00:59:17,5
8713,Moisture,02-Mar2019 00:58:45,67%
8714,Pressure,02-Mar2019 00:59:21,1
8715,Fuel Rate,02-Mar2019 01:00:44,28
8716,Discharge,02-Mar2019 01:01:00,20
8717,Discharge,02-Mar2019 01:01:04,11
8718,RPM,02-Mar2019 00:56:37,1908
8719,Temperature,02-Mar2019 00:55:05,70
8720,Vibration,02-Mar2019 00:56:49,73
8721,Fuel Rate,02-Mar2019 01:00:48,26
8722,Gas Flow,02-Mar2019 00:57:09,64
8723,Pressure,02-Mar2019 00:59:25,2
8724,Discharge,02-Mar2019 01:01:08,11
8725,Gas Flow,02-Mar2019 00:57:13,71
8726,Moisture,02-Mar2019 00:58:49,52%
8727,Gas Flow,02-Mar2019 00:57:17,68
8728,Discharge,02-Mar2019 01:01:12,19
8729,Moisture,02-Mar2019 00:58:53,70%
8730,Emission,02-Mar2019 00:57:25,7
8731,Emission,02-Mar2019 00:57:29,7
8732,Vibration,02-Mar2019 00:56:53,90
8733,RPM,02-Mar2019 00:56:41,1153
8734,Moisture,02-Mar2019 00:58:57,68%
8735,Temperature,02-Mar2019 00:55:09,56
8736,Moisture,02-Mar2019 00:59:01,58%
8737,Pressure,02-Mar2019 00:59:29,2
8738,Discharge,02-Mar2019 01:01:16,18
8739,Vibration,02-Mar2019 00:56:57,58
8740,Vibration,02-Mar2019 00:57:01,72
8741,No2,02-Mar2019 00:57:21,Low
8742,Gas Flow,02-Mar2019 00:57:21,76
8743,RPM,02-Mar2019 00:56:45,1850
8744,Vibration,02-Mar2019 00:57:05,No Signal
8745,RPM,02-Mar2019 00:56:49,1295
8746,Pressure,02-Mar2019 00:59:33,1
8747,Discharge,02-Mar2019 01:01:20,11
8748,Vibration,02-Mar2019 00:57:09,86
8749,No2,02-Mar2019 00:57:25,Low
8750,Pressure,02-Mar2019 00:59:37,3
8751,Fuel Rate,02-Mar2019 01:00:52,28
8752,Fuel Rate,02-Mar2019 01:00:56,25
8753,Gas Flow,02-Mar2019 00:57:25,68
8754,RPM,02-Mar2019 00:56:53,1709
8755,Gas Flow,02-Mar2019 00:57:29,65
8756,Emission,02-Mar2019 00:57:33,5
8757,Emission,02-Mar2019 00:57:37,6
8758,RPM,02-Mar2019 00:56:57,1502
8759,Discharge,02-Mar2019 01:01:24,12
8760,Vibration,02-Mar2019 00:57:13,80
8761,Pressure,02-Mar2019 00:59:41,1
8762,Discharge,02-Mar2019 01:01:28,18
8763,Vibration,02-Mar2019 00:57:17,Data Lost
8764,No2,02-Mar2019 00:57:29,Low
8765,Moisture,02-Mar2019 00:59:05,57%
8766,Fuel Rate,02-Mar2019 01:01:00,25
8767,Gas Flow,02-Mar2019 00:57:33,76
8768,Emission,02-Mar2019 00:57:41,5
8769,Emission,02-Mar2019 00:57:45,5
8770,No2,02-Mar2019 00:57:33,High
8771,No2,02-Mar2019 00:57:37,High
8772,Moisture,02-Mar2019 00:59:09,64%
8773,Temperature,02-Mar2019 00:55:13,53
8774,Discharge,02-Mar2019 01:01:32,16
8775,No2,02-Mar2019 00:57:41,High
8776,Temperature,02-Mar2019 00:55:17,76
8777,Vibration,02-Mar2019 00:57:21,Data Lost
8778,RPM,02-Mar2019 00:57:01,1957
8779,Discharge,02-Mar2019 01:01:36,12
8780,Gas Flow,02-Mar2019 00:57:37,63
8781,Emission,02-Mar2019 00:57:49,I/O TimeOut
8782,RPM,02-Mar2019 00:57:05,1747
8783,Temperature,02-Mar2019 00:55:21,73
8784,Moisture,02-Mar2019 00:59:13,56%
8785,Temperature,02-Mar2019 00:55:25,77
8786,Discharge,02-Mar2019 01:01:40,13
8787,Fuel Rate,02-Mar2019 01:01:04,27
8788,Gas Flow,02-Mar2019 00:57:41,70
8789,Gas Flow,02-Mar2019 00:57:45,68
8790,Fuel Rate,02-Mar2019 01:01:08,28
8791,Temperature,02-Mar2019 00:55:29,53
8792,Pressure,02-Mar2019 00:59:45,2
8793,Discharge,02-Mar2019 01:01:44,20
8794,Discharge,02-Mar2019 01:01:48,14
8795,Moisture,02-Mar2019 00:59:17,61%
8796,Pressure,02-Mar2019 00:59:49,3
8797,Emission,02-Mar2019 00:57:53,5
8798,Moisture,02-Mar2019 00:59:21,56%
8799,No2,02-Mar2019 00:57:45,High
8800,RPM,02-Mar2019 00:57:09,1640
8801,No2,02-Mar2019 00:57:49,Low
8802,Temperature,02-Mar2019 00:55:33,55
8803,Vibration,02-Mar2019 00:57:25,86
8804,RPM,02-Mar2019 00:57:13,1501
8805,Vibration,02-Mar2019 00:57:29,85
8806,Moisture,02-Mar2019 00:59:25,55%
8807,Discharge,02-Mar2019 01:01:52,16
8808,No2,02-Mar2019 00:57:53,Low
8809,Gas Flow,02-Mar2019 00:57:49,80
8810,Fuel Rate,02-Mar2019 01:01:12,26
8811,Temperature,02-Mar2019 00:55:37,79
8812,Discharge,02-Mar2019 01:01:56,17
8813,Pressure,02-Mar2019 00:59:53,5
8814,Gas Flow,02-Mar2019 00:57:53,71
8815,Pressure,02-Mar2019 00:59:56,4
8816,Moisture,02-Mar2019 00:59:29,61%
8817,Temperature,02-Mar2019 00:55:41,65
8818,Vibration,02-Mar2019 00:57:33,50
8819,No2,02-Mar2019 00:57:57,Low
8820,RPM,02-Mar2019 00:57:17,1597
8821,Fuel Rate,02-Mar2019 01:01:16,29
8822,Discharge,02-Mar2019 01:02:00,14
8823,RPM,02-Mar2019 00:57:21,1006
8824,Discharge,02-Mar2019 01:02:04,17
8825,Temperature,02-Mar2019 00:55:45,57
8826,Discharge,02-Mar2019 01:02:08,18
8827,Fuel Rate,02-Mar2019 01:01:20,25
8828,Pressure,02-Mar2019 01:00:00,4
8829,Moisture,02-Mar2019 00:59:33,67%
8830,Temperature,02-Mar2019 00:55:49,I/O TimeOut
8831,Gas Flow,02-Mar2019 00:57:57,63
8832,Discharge,02-Mar2019 01:02:12,12
8833,Temperature,02-Mar2019 00:55:53,56
8834,No2,02-Mar2019 00:58:01,Low
8835,Moisture,02-Mar2019 00:59:37,53%
8836,Moisture,02-Mar2019 00:59:41,50%
8837,Temperature,02-Mar2019 00:55:57,58
8838,Moisture,02-Mar2019 00:59:45,50%
8839,Temperature,02-Mar2019 00:56:01,51
8840,Fuel Rate,02-Mar2019 01:01:24,29
8841,Fuel Rate,02-Mar2019 01:01:28,27
8842,Pressure,02-Mar2019 01:00:04,3
8843,Fuel Rate,02-Mar2019 01:01:32,25
8844,Vibration,02-Mar2019 00:57:37,65
8845,Gas Flow,02-Mar2019 00:58:01,62
8846,Emission,02-Mar2019 00:57:57,10
8847,Discharge,02-Mar2019 01:02:16,18
8848,Discharge,02-Mar2019 01:02:20,20
8849,Pressure,02-Mar2019 01:00:08,5
8850,Moisture,02-Mar2019 00:59:49,63%
8851,No2,02-Mar2019 00:58:05,High
8852,Emission,02-Mar2019 00:58:01,8
8853,Gas Flow,02-Mar2019 00:58:05,69
8854,Pressure,02-Mar2019 01:00:12,5
8855,Pressure,02-Mar2019 01:00:16,2
8856,Vibration,02-Mar2019 00:57:41,82
8857,Fuel Rate,02-Mar2019 01:01:36,25
8858,Pressure,02-Mar2019 01:00:20,4
8859,Vibration,02-Mar2019 00:57:45,86
8860,Discharge,02-Mar2019 01:02:24,12
8861,Temperature,02-Mar2019 00:56:05,63
8862,Pressure,02-Mar2019 01:00:24,1
8863,Temperature,02-Mar2019 00:56:09,54
8864,Gas Flow,02-Mar2019 00:58:09,80
8865,Gas Flow,02-Mar2019 00:58:13,70
8866,RPM,02-Mar2019 00:57:25,1060
8867,Pressure,02-Mar2019 01:00:28,2
8868,Discharge,02-Mar2019 01:02:28,11
8869,Emission,02-Mar2019 00:58:05,10
8870,Moisture,02-Mar2019 00:59:53,67%
8871,Vibration,02-Mar2019 00:57:49,67
8872,RPM,02-Mar2019 00:57:29,1035
8873,RPM,02-Mar2019 00:57:33,1691
8874,No2,02-Mar2019 00:58:09,Low
8875,Pressure,02-Mar2019 01:00:32,4
8876,Discharge,02-Mar2019 01:02:32,11
8877,Temperature,02-Mar2019 00:56:13,61
8878,RPM,02-Mar2019 00:57:37,1201
8879,Emission,02-Mar2019 00:58:09,8
8880,RPM,02-Mar2019 00:57:41,1549
8881,Emission,02-Mar2019 00:58:13,9
8882,Pressure,02-Mar2019 01:00:36,3
8883,Emission,02-Mar2019 00:58:17,6
8884,No2,02-Mar2019 00:58:13,High
8885,Pressure,02-Mar2019 01:00:40,3
8886,Pressure,02-Mar2019 01:00:44,2
8887,Vibration,02-Mar2019 00:57:53,64
8888,Pressure,02-Mar2019 01:00:48,2
8889,Gas Flow,02-Mar2019 00:58:17,80
8890,Fuel Rate,02-Mar2019 01:01:40,25
8891,Pressure,02-Mar2019 01:00:52,4
8892,Vibration,02-Mar2019 00:57:57,82
8893,RPM,02-Mar2019 00:57:45,1757
8894,Discharge,02-Mar2019 01:02:36,14
8895,Temperature,02-Mar2019 00:56:17,68
8896,Discharge,02-Mar2019 01:02:40,15
8897,Emission,02-Mar2019 00:58:21,10
8898,Moisture,02-Mar2019 00:59:56,68%
8899,No2,02-Mar2019 00:58:17,Medium
8900,Vibration,02-Mar2019 00:58:01,89
8901,Discharge,02-Mar2019 01:02:44,12
8902,RPM,02-Mar2019 00:57:49,1792
8903,No2,02-Mar2019 00:58:21,Low
8904,Pressure,02-Mar2019 01:00:56,2
8905,Moisture,02-Mar2019 01:00:00,52%
8906,No2,02-Mar2019 00:58:25,Medium
8907,Vibration,02-Mar2019 00:58:05,68
8908,Moisture,02-Mar2019 01:00:04,60%
8909,Gas Flow,02-Mar2019 00:58:21,71
8910,Gas Flow,02-Mar2019 00:58:25,68
8911,RPM,02-Mar2019 00:57:53,1009
8912,Fuel Rate,02-Mar2019 01:01:44,29
8913,Gas Flow,02-Mar2019 00:58:29,68
8914,Emission,02-Mar2019 00:58:25,6
8915,No2,02-Mar2019 00:58:29,Low
8916,Gas Flow,02-Mar2019 00:58:33,73
8917,Gas Flow,02-Mar2019 00:58:37,Data Lost
8918,Moisture,02-Mar2019 01:00:08,66%
8919,Fuel Rate,02-Mar2019 01:01:48,25
8920,Fuel Rate,02-Mar2019 01:01:52,27
8921,Moisture,02-Mar2019 01:00:12,63%
8922,Pressure,02-Mar2019 01:01:00,3
8923,Emission,02-Mar2019 00:58:29,6
8924,Temperature,02-Mar2019 00:56:21,76
8925,Pressure,02-Mar2019 01:01:04,5
8926,RPM,02-Mar2019 00:57:57,1290
8927,Pressure,02-Mar2019 01:01:08,1
8928,Vibration,02-Mar2019 00:58:09,88
8929,Pressure,02-Mar2019 01:01:12,3
8930,Emission,02-Mar2019 00:58:33,10
8931,Temperature,02-Mar2019 00:56:25,72
8932,Pressure,02-Mar2019 01:01:16,I/O TimeOut
8933,Gas Flow,02-Mar2019 00:58:41,66
8934,Discharge,02-Mar2019 01:02:48,18
8935,Gas Flow,02-Mar2019 00:58:45,69
8936,No2,02-Mar2019 00:58:33,Low
8937,Pressure,02-Mar2019 01:01:20,4
8938,Temperature,02-Mar2019 00:56:29,60
8939,Temperature,02-Mar2019 00:56:33,75
8940,Pressure,02-Mar2019 01:01:24,2
8941,No2,02-Mar2019 00:58:37,High
8942,RPM,02-Mar2019 00:58:01,1344
8943,Emission,02-Mar2019 00:58:37,9
8944,Emission,02-Mar2019 00:58:41,8
8945,No2,02-Mar2019 00:58:41,I/O TimeOut
8946,Pressure,02-Mar2019 01:01:28,2
8947,Fuel Rate,02-Mar2019 01:01:56,28
8948,Fuel Rate,02-Mar2019 01:02:00,I/O TimeOut
8949,Vibration,02-Mar2019 00:58:13,65
8950,Discharge,02-Mar2019 01:02:52,12
8951,Moisture,02-Mar2019 01:00:16,51%
8952,No2,02-Mar2019 00:58:45,High
8953,Pressure,02-Mar2019 01:01:32,4
8954,Discharge,02-Mar2019 01:02:56,20
8955,Vibration,02-Mar2019 00:58:17,70
8956,Temperature,02-Mar2019 00:56:37,62
8957,Gas Flow,02-Mar2019 00:58:49,78
8958,Emission,02-Mar2019 00:58:45,5
8959,Moisture,02-Mar2019 01:00:20,64%
8960,Moisture,02-Mar2019 01:00:24,67%
8961,Vibration,02-Mar2019 00:58:21,54
8962,Vibration,02-Mar2019 00:58:25,54
8963,Temperature,02-Mar2019 00:56:41,54
8964,Pressure,02-Mar2019 01:01:36,4
8965,Discharge,02-Mar2019 01:03:00,16
8966,Moisture,02-Mar2019 01:00:28,64%
8967,Gas Flow,02-Mar2019 00:58:53,72
8968,No2,02-Mar2019 00:58:49,Low
8969,Emission,02-Mar2019 00:58:49,6
8970,Pressure,02-Mar2019 01:01:40,5
8971,Fuel Rate,02-Mar2019 01:02:04,26
8972,RPM,02-Mar2019 00:58:05,2000
8973,Temperature,02-Mar2019 00:56:45,69
8974,Emission,02-Mar2019 00:58:53,8
8975,Gas Flow,02-Mar2019 00:58:57,62
8976,Temperature,02-Mar2019 00:56:49,68
8977,Moisture,02-Mar2019 01:00:32,52%
8978,No2,02-Mar2019 00:58:53,High
8979,Gas Flow,02-Mar2019 00:59:01,76
8980,RPM,02-Mar2019 00:58:09,1973
8981,RPM,02-Mar2019 00:58:13,1110
8982,Fuel Rate,02-Mar2019 01:02:08,30
8983,No2,02-Mar2019 00:58:57,Medium
8984,No2,02-Mar2019 00:59:01,High
8985,RPM,02-Mar2019 00:58:17,1695
8986,RPM,02-Mar2019 00:58:21,1787
8987,Moisture,02-Mar2019 01:00:36,50%
8988,Emission,02-Mar2019 00:58:57,10
8989,Moisture,02-Mar2019 01:00:40,63%
8990,Vibration,02-Mar2019 00:58:29,75
8991,Moisture,02-Mar2019 01:00:44,59%
8992,No2,02-Mar2019 00:59:05,Low
8993,Vibration,02-Mar2019 00:58:33,51
8994,Temperature,02-Mar2019 00:56:53,69
8995,No2,02-Mar2019 00:59:09,High
8996,Temperature,02-Mar2019 00:56:57,56
8997,Vibration,02-Mar2019 00:58:37,51
8998,Discharge,02-Mar2019 01:03:04,No Signal
8999,Vibration,02-Mar2019 00:58:41,50
9000,Vibration,02-Mar2019 00:58:45,68
9001,Moisture,02-Mar2019 01:00:48,63%
9002,Temperature,02-Mar2019 00:57:01,53
9003,Vibration,02-Mar2019 00:58:49,62
9004,Temperature,02-Mar2019 00:57:05,73
9005,No2,02-Mar2019 00:59:13,High
9006,Pressure,02-Mar2019 01:01:44,I/O TimeOut
9007,Vibration,02-Mar2019 00:58:53,52
9008,Emission,02-Mar2019 00:59:01,8
9009,RPM,02-Mar2019 00:58:25,1496
9010,Moisture,02-Mar2019 01:00:52,57%
9011,Moisture,02-Mar2019 01:00:56,52%
9012,RPM,02-Mar2019 00:58:29,1056
9013,Vibration,02-Mar2019 00:58:57,71
9014,Vibration,02-Mar2019 00:59:01,80
9015,Temperature,02-Mar2019 00:57:09,72
9016,Gas Flow,02-Mar2019 00:59:05,61
9017,Discharge,02-Mar2019 01:03:08,15
9018,Discharge,02-Mar2019 01:03:12,16
9019,Fuel Rate,02-Mar2019 01:02:12,26
9020,Pressure,02-Mar2019 01:01:48,3
9021,Discharge,02-Mar2019 01:03:16,14
9022,Fuel Rate,02-Mar2019 01:02:16,30
9023,Temperature,02-Mar2019 00:57:13,No Signal
9024,Pressure,02-Mar2019 01:01:52,2
9025,Pressure,02-Mar2019 01:01:56,1
9026,Emission,02-Mar2019 00:59:05,7
9027,Gas Flow,02-Mar2019 00:59:09,78
9028,Moisture,02-Mar2019 01:01:00,54%
9029,Vibration,02-Mar2019 00:59:05,89
9030,Gas Flow,02-Mar2019 00:59:13,67
9031,No2,02-Mar2019 00:59:17,High
9032,Discharge,02-Mar2019 01:03:20,16
9033,RPM,02-Mar2019 00:58:33,1391
9034,Emission,02-Mar2019 00:59:09,5
9035,Gas Flow,02-Mar2019 00:59:17,79
9036,Gas Flow,02-Mar2019 00:59:21,75
9037,Discharge,02-Mar2019 01:03:24,18
9038,Temperature,02-Mar2019 00:57:17,54
9039,RPM,02-Mar2019 00:58:37,1534
9040,Discharge,02-Mar2019 01:03:28,11
9041,Temperature,02-Mar2019 00:57:21,56
9042,Emission,02-Mar2019 00:59:13,6
9043,Fuel Rate,02-Mar2019 01:02:20,29
9044,RPM,02-Mar2019 00:58:41,1159
9045,Vibration,02-Mar2019 00:59:09,66
9046,Temperature,02-Mar2019 00:57:25,59
9047,RPM,02-Mar2019 00:58:45,1730
9048,Discharge,02-Mar2019 01:03:32,14
9049,Moisture,02-Mar2019 01:01:04,54%
9050,Emission,02-Mar2019 00:59:17,8
9051,Temperature,02-Mar2019 00:57:29,79
9052,Emission,02-Mar2019 00:59:21,10
9053,Vibration,02-Mar2019 00:59:13,76
9054,Moisture,02-Mar2019 01:01:08,68%
9055,Emission,02-Mar2019 00:59:25,I/O TimeOut
9056,Temperature,02-Mar2019 00:57:33,77
9057,Moisture,02-Mar2019 01:01:12,70%
9058,No2,02-Mar2019 00:59:21,Low
9059,Emission,02-Mar2019 00:59:29,6
9060,Temperature,02-Mar2019 00:57:37,58
9061,Pressure,02-Mar2019 01:02:00,1
9062,Pressure,02-Mar2019 01:02:04,2
9063,RPM,02-Mar2019 00:58:49,1662
9064,Discharge,02-Mar2019 01:03:36,12
9065,Pressure,02-Mar2019 01:02:08,1
9066,RPM,02-Mar2019 00:58:53,1894
9067,Pressure,02-Mar2019 01:02:12,2
9068,RPM,02-Mar2019 00:58:57,1730
9069,Emission,02-Mar2019 00:59:33,8
9070,Fuel Rate,02-Mar2019 01:02:24,30
9071,RPM,02-Mar2019 00:59:01,1871
9072,Gas Flow,02-Mar2019 00:59:25,65
9073,Temperature,02-Mar2019 00:57:41,75
9074,Pressure,02-Mar2019 01:02:16,1
9075,Emission,02-Mar2019 00:59:37,8
9076,Fuel Rate,02-Mar2019 01:02:28,29
9077,Emission,02-Mar2019 00:59:41,6
9078,Discharge,02-Mar2019 01:03:40,13
9079,Moisture,02-Mar2019 01:01:16,66%
9080,Emission,02-Mar2019 00:59:45,6
9081,Moisture,02-Mar2019 01:01:20,63%
9082,RPM,02-Mar2019 00:59:05,1740
9083,RPM,02-Mar2019 00:59:09,1210
9084,Fuel Rate,02-Mar2019 01:02:32,27
9085,No2,02-Mar2019 00:59:25,High
9086,Fuel Rate,02-Mar2019 01:02:36,28
9087,No2,02-Mar2019 00:59:29,Low
9088,Temperature,02-Mar2019 00:57:45,54
9089,Discharge,02-Mar2019 01:03:44,12
9090,Vibration,02-Mar2019 00:59:17,84
9091,Moisture,02-Mar2019 01:01:24,51%
9092,Discharge,02-Mar2019 01:03:48,15
9093,Vibration,02-Mar2019 00:59:21,75
9094,Moisture,02-Mar2019 01:01:28,53%
9095,Temperature,02-Mar2019 00:57:49,59
9096,Pressure,02-Mar2019 01:02:20,5
9097,RPM,02-Mar2019 00:59:13,1706
9098,Moisture,02-Mar2019 01:01:32,63%
9099,Pressure,02-Mar2019 01:02:24,3
9100,No2,02-Mar2019 00:59:33,Low
9101,Gas Flow,02-Mar2019 00:59:29,74
9102,RPM,02-Mar2019 00:59:17,1007
9103,Discharge,02-Mar2019 01:03:52,18
9104,Pressure,02-Mar2019 01:02:28,5
9105,No2,02-Mar2019 00:59:37,Low
9106,RPM,02-Mar2019 00:59:21,1418
9107,Fuel Rate,02-Mar2019 01:02:40,25
9108,Discharge,02-Mar2019 01:03:56,15
9109,RPM,02-Mar2019 00:59:25,1930
9110,Moisture,02-Mar2019 01:01:36,No Signal
9111,Vibration,02-Mar2019 00:59:25,73
9112,Fuel Rate,02-Mar2019 01:02:44,27
9113,No2,02-Mar2019 00:59:41,High
9114,No2,02-Mar2019 00:59:45,High
9115,Pressure,02-Mar2019 01:02:32,2
9116,No2,02-Mar2019 00:59:49,High
9117,Pressure,02-Mar2019 01:02:36,5
9118,Gas Flow,02-Mar2019 00:59:33,67
9119,Discharge,02-Mar2019 01:04:00,10
9120,Temperature,02-Mar2019 00:57:53,74
9121,Moisture,02-Mar2019 01:01:40,62%
9122,Fuel Rate,02-Mar2019 01:02:48,27
9123,Gas Flow,02-Mar2019 00:59:37,62
9124,Temperature,02-Mar2019 00:57:57,67
9125,Emission,02-Mar2019 00:59:49,7
9126,Vibration,02-Mar2019 00:59:29,74
9127,No2,02-Mar2019 00:59:53,Low
9128,Fuel Rate,02-Mar2019 01:02:52,30
9129,Moisture,02-Mar2019 01:01:44,66%
9130,Gas Flow,02-Mar2019 00:59:41,65
9131,Pressure,02-Mar2019 01:02:40,1
9132,Emission,02-Mar2019 00:59:53,9
9133,Moisture,02-Mar2019 01:01:48,70%
9134,Gas Flow,02-Mar2019 00:59:45,Data Lost
9135,Moisture,02-Mar2019 01:01:52,66%
9136,No2,02-Mar2019 00:59:56,Medium
9137,Temperature,02-Mar2019 00:58:01,78
9138,No2,02-Mar2019 01:00:00,High
9139,Pressure,02-Mar2019 01:02:44,5
9140,Discharge,02-Mar2019 01:04:04,10
9141,Fuel Rate,02-Mar2019 01:02:56,27
9142,Moisture,02-Mar2019 01:01:56,55%
9143,Gas Flow,02-Mar2019 00:59:49,65
9144,Discharge,02-Mar2019 01:04:08,16
9145,Discharge,02-Mar2019 01:04:12,16
9146,Moisture,02-Mar2019 01:02:00,59%
9147,Fuel Rate,02-Mar2019 01:03:00,30
9148,Temperature,02-Mar2019 00:58:05,59
9149,Fuel Rate,02-Mar2019 01:03:04,25
9150,Fuel Rate,02-Mar2019 01:03:08,28
9151,No2,02-Mar2019 01:00:04,Medium
9152,Moisture,02-Mar2019 01:02:04,52%
9153,Fuel Rate,02-Mar2019 01:03:12,29
9154,Vibration,02-Mar2019 00:59:33,79
9155,Emission,02-Mar2019 00:59:56,7
9156,Pressure,02-Mar2019 01:02:48,5
9157,Temperature,02-Mar2019 00:58:09,78
9158,Temperature,02-Mar2019 00:58:13,65
9159,Fuel Rate,02-Mar2019 01:03:16,29
9160,Vibration,02-Mar2019 00:59:37,89
9161,RPM,02-Mar2019 00:59:29,1009
9162,No2,02-Mar2019 01:00:08,Medium
9163,RPM,02-Mar2019 00:59:33,1685
9164,Moisture,02-Mar2019 01:02:08,66%
9165,RPM,02-Mar2019 00:59:37,1835
9166,Discharge,02-Mar2019 01:04:16,19
9167,Gas Flow,02-Mar2019 00:59:53,No Signal
9168,Fuel Rate,02-Mar2019 01:03:20,29
9169,No2,02-Mar2019 01:00:12,High
9170,Discharge,02-Mar2019 01:04:20,19
9171,Vibration,02-Mar2019 00:59:41,81
9172,Moisture,02-Mar2019 01:02:12,64%
9173,Temperature,02-Mar2019 00:58:17,64
9174,Discharge,02-Mar2019 01:04:24,12
9175,Pressure,02-Mar2019 01:02:52,5
9176,Emission,02-Mar2019 01:00:00,6
9177,Pressure,02-Mar2019 01:02:56,4
9178,Emission,02-Mar2019 01:00:04,5
9179,No2,02-Mar2019 01:00:16,No Signal
9180,Emission,02-Mar2019 01:00:08,5
9181,Fuel Rate,02-Mar2019 01:03:24,26
9182,Vibration,02-Mar2019 00:59:45,73
9183,Emission,02-Mar2019 01:00:12,9
9184,Gas Flow,02-Mar2019 00:59:56,65
9185,Temperature,02-Mar2019 00:58:21,50
9186,Fuel Rate,02-Mar2019 01:03:28,30
9187,Discharge,02-Mar2019 01:04:28,15
9188,Gas Flow,02-Mar2019 01:00:00,67
9189,Temperature,02-Mar2019 00:58:25,61
9190,Temperature,02-Mar2019 00:58:29,60
9191,Fuel Rate,02-Mar2019 01:03:32,25
9192,Vibration,02-Mar2019 00:59:49,54
9193,RPM,02-Mar2019 00:59:41,1478
9194,Fuel Rate,02-Mar2019 01:03:36,28
9195,Discharge,02-Mar2019 01:04:32,18
9196,Vibration,02-Mar2019 00:59:53,61
9197,Discharge,02-Mar2019 01:04:36,11
9198,Vibration,02-Mar2019 00:59:56,69
9199,Temperature,02-Mar2019 00:58:33,63
9200,Temperature,02-Mar2019 00:58:37,Data Lost
9201,Vibration,02-Mar2019 01:00:00,57
9202,RPM,02-Mar2019 00:59:45,1859
9203,Vibration,02-Mar2019 01:00:04,78
9204,Discharge,02-Mar2019 01:04:40,13
9205,Temperature,02-Mar2019 00:58:41,61
9206,Pressure,02-Mar2019 01:03:00,3
9207,Fuel Rate,02-Mar2019 01:03:40,28
9208,RPM,02-Mar2019 00:59:49,1557
9209,Gas Flow,02-Mar2019 01:00:04,68
9210,Pressure,02-Mar2019 01:03:04,5
9211,Gas Flow,02-Mar2019 01:00:08,65
9212,No2,02-Mar2019 01:00:20,High
9213,RPM,02-Mar2019 00:59:53,1234
9214,RPM,02-Mar2019 00:59:56,Data Lost
9215,Gas Flow,02-Mar2019 01:00:12,70
9216,RPM,02-Mar2019 01:00:00,1234
9217,RPM,02-Mar2019 01:00:04,1747
9218,Vibration,02-Mar2019 01:00:08,83
9219,Gas Flow,02-Mar2019 01:00:16,78
9220,Gas Flow,02-Mar2019 01:00:20,69
9221,Vibration,02-Mar2019 01:00:12,60
9222,Gas Flow,02-Mar2019 01:00:24,77
9223,Vibration,02-Mar2019 01:00:16,53
9224,Gas Flow,02-Mar2019 01:00:28,63
9225,Temperature,02-Mar2019 00:58:45,67
9226,Temperature,02-Mar2019 00:58:49,60
9227,Temperature,02-Mar2019 00:58:53,73
9228,Gas Flow,02-Mar2019 01:00:32,72
9229,Gas Flow,02-Mar2019 01:00:36,61
9230,No2,02-Mar2019 01:00:24,I/O TimeOut
9231,Moisture,02-Mar2019 01:02:16,58%
9232,No2,02-Mar2019 01:00:28,High
9233,No2,02-Mar2019 01:00:32,Medium
9234,Discharge,02-Mar2019 01:04:44,18
9235,Temperature,02-Mar2019 00:58:57,61
9236,No2,02-Mar2019 01:00:36,Low
9237,Discharge,02-Mar2019 01:04:48,18
9238,Vibration,02-Mar2019 01:00:20,72
9239,Gas Flow,02-Mar2019 01:00:40,76
9240,Discharge,02-Mar2019 01:04:52,11
9241,No2,02-Mar2019 01:00:40,High
9242,Fuel Rate,02-Mar2019 01:03:44,29
9243,Pressure,02-Mar2019 01:03:08,I/O TimeOut
9244,Vibration,02-Mar2019 01:00:24,65
9245,Moisture,02-Mar2019 01:02:20,68%
9246,No2,02-Mar2019 01:00:44,Medium
9247,RPM,02-Mar2019 01:00:08,1253
9248,Moisture,02-Mar2019 01:02:24,59%
9249,Vibration,02-Mar2019 01:00:28,51
9250,No2,02-Mar2019 01:00:48,Low
9251,Gas Flow,02-Mar2019 01:00:44,72
9252,Fuel Rate,02-Mar2019 01:03:48,27
9253,Gas Flow,02-Mar2019 01:00:48,76
9254,Gas Flow,02-Mar2019 01:00:52,75
9255,Emission,02-Mar2019 01:00:16,8
9256,Gas Flow,02-Mar2019 01:00:56,64
9257,Temperature,02-Mar2019 00:59:01,54
9258,Vibration,02-Mar2019 01:00:32,55
9259,Fuel Rate,02-Mar2019 01:03:52,26
9260,Emission,02-Mar2019 01:00:20,6
9261,Emission,02-Mar2019 01:00:24,9
9262,Emission,02-Mar2019 01:00:28,5
9263,Vibration,02-Mar2019 01:00:36,61
9264,No2,02-Mar2019 01:00:52,Low
9265,Temperature,02-Mar2019 00:59:05,59
9266,Fuel Rate,02-Mar2019 01:03:56,29
9267,Moisture,02-Mar2019 01:02:28,65%
9268,Emission,02-Mar2019 01:00:32,7
9269,Pressure,02-Mar2019 01:03:12,5
9270,Discharge,02-Mar2019 01:04:56,10
9271,Temperature,02-Mar2019 00:59:09,77
9272,Temperature,02-Mar2019 00:59:13,55
9273,Temperature,02-Mar2019 00:59:17,51
9274,Fuel Rate,02-Mar2019 01:04:00,25
9275,RPM,02-Mar2019 01:00:12,1421
9276,Fuel Rate,02-Mar2019 01:04:04,26
9277,RPM,02-Mar2019 01:00:16,1186
9278,Fuel Rate,02-Mar2019 01:04:08,29
